,mean,std
total_sessions,31.24598037168511,26.538343483298707
avg_session_duration,19.943056204903087,6.625850634638874
active_days,10.422844017540196,8.804627078516514
daily_activity_std,0.7219790721886383,0.3094038405610228
sessions_per_day,0.710135917538298,0.6031441700749706
active_days_ratio,0.23688281858045898,0.20010516087537536
days_since_last_active,22.59741073292963,14.109932155801815
sessions_last_7d,2.2931718521612026,5.007187539015293
sessions_prev_7d,28.95280851952391,22.650468443343172
session_trend_ratio,0.040097171824188635,0.08494563817251573
feature_entropy,1.462436573708721,0.4038134967615077
unique_features_used,4.99603257465024,1.4285345894626487
